id,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Gender,City_Type,Current_Car_Type,Home_Charging_Possible,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
156,26,84554,28.4,1,3,16,1,Female,Urban,SUV,Yes,No,Low,No
157,64,30000,32.4,1,14,19,5,Male,Urban,Hatchback,No,No,Low,No
158,54,71949,42.1,2,1,3,5,Female,Rural,SUV,Yes,Yes,Low,Yes
159,56,114667,32.7,2,13,13,5,Male,Urban,SUV,Yes,Yes,Low,Yes
160,61,128821,48.7,1,2,1,1,Male,Rural,Sedan,Yes,Yes,Low,No
161,41,125951,37.2,2,1,9,3,Female,Suburban,Sedan,Yes,No,Low,No
162,65,103474,5,2,6,7,1,Male,Suburban,SUV,Yes,Yes,Low,No
163,26,52391,46.2,1,0,3,3,Other,Rural,Sedan,Yes,Yes,Low,No
164,31,86474,43.2,2,1,0,2,Male,Rural,Sedan,Yes,No,Low,No
165,58,30000,54.8,2,2,13,2,Male,Urban,Sedan,Yes,Yes,Low,No
166,45,64584,54.4,1,2,3,3,Female,Rural,SUV,Yes,No,Low,No
167,31,84595,38.3,2,12,13,5,Male,Urban,Hatchback,No,Yes,Low,No
168,64,59798,5,1,6,4,2,Male,Suburban,SUV,Yes,No,Low,No
169,56,111132,61.4,3,2,2,5,Female,Rural,SUV,Yes,Yes,Low,Yes
170,69,75904,59,2,9,15,3,Male,Urban,Sedan,No,No,Low,No
171,46,53598,26,1,7,5,3,Male,Suburban,SUV,Yes,No,Low,No
172,69,87487,26.6,2,4,1,3,Male,Suburban,Sedan,Yes,Yes,Low,Yes
173,49,93599,56.5,1,1,1,3,Male,Rural,Sedan,Yes,No,Low,No
174,29,86831,31.5,2,5,12,4,Male,Urban,Truck,Yes,Yes,Low,No
175,50,95845,5,2,14,10,2,Female,Urban,SUV,No,No,Low,No
176,49,106565,33.5,2,5,3,5,Male,Urban,Sedan,Yes,No,Low,No
177,52,129990,46.7,1,1,1,2,Female,Rural,Sedan,Yes,No,Low,No
178,26,107778,5,2,2,14,3,Male,Urban,Hatchback,No,Yes,Low,No
179,47,114739,40.4,1,3,4,1,Male,Suburban,Hatchback,Yes,Yes,Low,No
180,50,74099,31.4,1,0,3,3,Female,Rural,Truck,Yes,Yes,Low,No
181,53,69538,52.4,2,9,3,5,Female,Urban,SUV,No,Yes,Medium,Yes
182,55,81699,26.7,1,2,12,2,Male,Urban,Sedan,No,Yes,Low,No
183,58,102589,25.2,1,3,5,5,Female,Suburban,Sedan,Yes,Yes,Low,Yes
184,26,81785,5,1,13,4,5,Female,Urban,Sedan,No,Yes,Low,Yes
185,28,80728,5,2,2,17,3,Male,Urban,Sedan,No,Yes,Low,No
186,50,89354,39.3,2,10,10,5,Female,Urban,Sedan,Yes,No,Low,No
187,63,92325,54.5,1,6,16,5,Male,Urban,SUV,No,Yes,Low,No
188,55,99440,63.9,2,6,9,4,Male,Suburban,SUV,Yes,Yes,Low,No
189,28,115933,29.3,1,2,7,2,Male,Suburban,SUV,Yes,Yes,Low,No
190,51,115676,21.3,2,1,6,1,Female,Suburban,SUV,Yes,Yes,Low,No
191,32,91560,38.9,1,1,3,4,Female,Rural,Sedan,Yes,No,Low,No
192,26,30000,57.7,2,0,8,2,Male,Suburban,Sedan,Yes,No,Low,No
193,30,30000,5,1,11,13,4,Female,Urban,SUV,Yes,Yes,Low,No
194,56,92873,55.1,2,14,17,3,Male,Urban,Sedan,No,No,Low,No
195,56,113623,40.3,1,4,4,3,Male,Suburban,Hatchback,Yes,No,Low,No
196,58,78168,19.7,1,0,1,3,Male,Rural,SUV,Yes,Yes,Low,No
197,53,106533,24.2,1,3,6,2,Male,Suburban,Sedan,Yes,Yes,Low,No
198,26,119835,41.7,3,2,2,1,Male,Rural,Truck,Yes,Yes,Low,No
199,26,72969,37.4,1,0,3,3,Female,Rural,Hatchback,Yes,No,Low,No
200,29,66522,60.7,1,1,3,3,Male,Rural,SUV,Yes,Yes,Low,No
201,48,69585,37.4,1,1,1,4,Male,Rural,Sedan,Yes,Yes,Low,No
202,55,69768,29,2,7,19,1,Female,Urban,Sedan,No,No,Low,No
203,30,97980,46.6,1,12,13,5,Female,Urban,Hatchback,Yes,Yes,Low,Yes
204,34,65871,16.3,3,6,1,3,Male,Suburban,Sedan,Yes,No,Low,No
205,33,129919,22.2,2,0,1,1,Female,Suburban,SUV,Yes,No,Low,No
206,62,121657,33.6,2,0,0,2,Male,Rural,Hatchback,Yes,No,Low,No
207,30,78531,48,2,5,3,1,Female,Suburban,SUV,Yes,Yes,Low,No
208,58,30000,54.4,1,7,5,3,Male,Urban,SUV,No,No,Medium,No
209,51,93353,31.3,2,0,8,4,Female,Suburban,SUV,Yes,No,Low,No
210,50,74951,43.6,1,6,8,4,Male,Suburban,Hatchback,Yes,Yes,Low,No
211,30,83086,34,2,3,4,1,Male,Suburban,Sedan,Yes,No,Low,No
212,58,74099,31,2,0,1,5,Male,Suburban,Sedan,Yes,No,Low,No
213,56,78740,5,1,3,5,4,Male,Urban,Sedan,Yes,No,Low,No
214,37,61888,25,2,7,2,2,Female,Suburban,SUV,Yes,Yes,Low,No
215,49,78566,32.4,1,14,16,1,Female,Urban,SUV,No,Yes,Low,No
216,29,122347,67.5,1,5,5,2,Female,Suburban,SUV,Yes,No,Low,No
217,58,104860,54.1,1,0,1,5,Male,Rural,SUV,Yes,Yes,Low,Yes
218,57,93989,62.4,3,11,12,4,Female,Urban,Sedan,Yes,No,Low,No
219,62,83059,44,2,2,2,4,Male,Suburban,SUV,No,Yes,High,No
220,43,87877,39.3,1,6,9,3,Female,Suburban,Sedan,Yes,Yes,Low,No
221,29,30000,34.7,2,11,19,2,Female,Urban,SUV,No,No,Low,No
222,27,82460,33.4,2,4,12,4,Male,Urban,Sedan,Yes,Yes,Low,Yes
223,57,70829,47.9,2,2,14,4,Male,Urban,Sedan,No,Yes,Low,Yes
224,47,86924,45.4,1,3,3,1,Male,Suburban,SUV,Yes,Yes,Low,No
225,35,30000,5,3,1,3,5,Female,Rural,Sedan,Yes,No,Low,No
226,50,62225,52.5,3,8,16,1,Female,Urban,Sedan,No,Yes,Low,No
227,68,88345,5,4,12,9,2,Male,Urban,Hatchback,No,No,Low,No
228,63,63371,35.2,2,0,8,2,Female,Suburban,Sedan,Yes,Yes,Low,No
229,47,88637,30.5,2,6,8,5,Male,Suburban,Sedan,Yes,No,Low,No
230,68,86069,5,1,14,6,4,Female,Urban,Hatchback,No,No,Low,No
231,49,58764,30.4,2,0,1,1,Female,Rural,SUV,Yes,No,Low,No
232,37,30000,43.1,2,1,0,1,Male,Rural,SUV,Yes,Yes,Low,No
233,60,105587,52.4,3,1,3,5,Female,Suburban,Sedan,Yes,No,Low,No
234,40,84531,5,2,4,15,4,Male,Urban,SUV,Yes,Yes,Low,Yes
235,35,79856,39.3,2,14,15,1,Female,Urban,Truck,No,Yes,Low,No
236,34,113589,5,2,2,8,2,Male,Suburban,SUV,Yes,Yes,Low,No
237,43,91273,29.4,1,6,7,2,Female,Suburban,Sedan,Yes,Yes,Low,No
238,62,120720,5,1,2,0,2,Female,Rural,Sedan,Yes,Yes,Low,No
239,35,90838,28,2,5,5,1,Female,Suburban,SUV,Yes,Yes,Low,No
240,38,139330,5,1,3,7,3,Male,Suburban,SUV,Yes,No,Low,No
241,56,84851,50.4,1,3,4,3,Male,Suburban,Sedan,Yes,Yes,Low,No
242,35,30000,20,1,2,2,3,Female,Rural,Hatchback,Yes,Yes,Low,No
243,53,93726,31.3,1,2,1,5,Male,Suburban,SUV,Yes,Yes,Low,Yes
244,53,58383,61.8,3,8,5,2,Female,Urban,SUV,Yes,Yes,Low,No
245,55,118904,38.1,1,6,2,1,Female,Suburban,SUV,Yes,Yes,Low,No
246,63,73220,17.6,2,1,0,4,Female,Rural,Sedan,No,Yes,Medium,No
247,45,79897,50,3,5,4,2,Male,Suburban,Sedan,Yes,Yes,Low,No
248,69,30000,5,1,4,4,1,Female,Suburban,SUV,Yes,Yes,Low,No
249,44,81718,29.3,1,2,4,2,Male,Suburban,Sedan,Yes,Yes,Low,No
250,27,76983,35.3,3,4,4,3,Male,Suburban,SUV,Yes,Yes,Low,No
251,36,30000,70.9,1,9,3,1,Female,Urban,SUV,No,Yes,Medium,No
252,31,133621,66,2,6,6,1,Female,Suburban,Sedan,Yes,Yes,Low,No
253,45,91675,52.5,3,6,19,1,Female,Urban,Sedan,Yes,Yes,Low,No
254,42,66439,30.2,1,6,2,3,Male,Suburban,SUV,Yes,Yes,Low,No
255,47,30000,32,4,3,7,4,Male,Suburban,SUV,Yes,No,Low,No
256,61,89831,44.5,1,11,13,1,Male,Urban,Sedan,Yes,No,Low,No
257,46,94581,22.2,1,7,9,5,Male,Suburban,Hatchback,Yes,Yes,Low,No
258,42,132058,39.7,2,6,16,4,Male,Urban,SUV,No,Yes,Low,Yes
259,45,94814,40,1,5,14,5,Male,Urban,Hatchback,No,Yes,Low,Yes
260,64,30000,5,1,1,2,1,Female,Suburban,Sedan,Yes,No,Low,No
261,41,30000,31.5,1,2,16,5,Female,Urban,Hatchback,Yes,Yes,Low,Yes
262,52,74941,38.8,1,8,14,3,Female,Urban,Sedan,No,No,Low,No
263,31,30000,30.3,2,2,0,2,Male,Rural,SUV,Yes,No,Low,No
264,29,53600,21.7,2,8,7,3,Male,Urban,Sedan,Yes,Yes,Low,No
265,45,84595,55.3,3,3,16,1,Male,Urban,SUV,Yes,No,Low,No
266,47,92798,38,4,8,7,2,Male,Urban,Truck,No,No,Low,No
267,30,78047,55.7,1,8,19,5,Female,Urban,Sedan,Yes,No,Low,No
268,25,78871,28.7,1,4,2,2,Male,Suburban,SUV,Yes,Yes,Low,No
269,30,91882,40.6,1,11,10,1,Female,Urban,SUV,No,Yes,Low,No
270,45,119608,49.7,1,9,11,1,Male,Urban,Hatchback,Yes,No,Low,No
271,63,115513,53.7,1,5,5,5,Female,Suburban,SUV,No,No,Medium,No
272,61,74609,54.4,1,1,1,4,Male,Rural,Hatchback,Yes,No,Low,No
273,49,102593,34.3,1,6,17,2,Female,Urban,SUV,Yes,Yes,Low,No
274,44,56530,48.5,2,0,8,1,Male,Suburban,Sedan,Yes,Yes,Low,No
275,33,72896,21.1,2,10,15,5,Male,Urban,Sedan,No,Yes,Low,Yes
276,61,56563,21.3,4,0,0,1,Male,Rural,Hatchback,Yes,No,Low,No
277,55,124410,50.3,1,7,6,2,Male,Suburban,Sedan,Yes,Yes,Low,No
278,59,109476,42.4,1,6,9,4,Female,Suburban,Sedan,Yes,Yes,Low,Yes
279,61,72270,43.5,2,14,17,1,Male,Urban,Sedan,No,Yes,Low,No
280,65,131332,17.1,1,1,1,5,Other,Rural,Sedan,Yes,Yes,Low,Yes
281,53,54773,46.7,3,3,6,1,Female,Suburban,SUV,Yes,Yes,Low,No
282,38,104489,46.7,2,0,2,3,Male,Suburban,Sedan,Yes,Yes,Low,Yes
283,28,65470,5,1,13,9,4,Male,Urban,Sedan,No,No,Low,No
284,39,125064,40.1,2,1,3,3,Male,Suburban,Sedan,No,Yes,Medium,No
285,60,132951,26.6,3,2,2,4,Male,Suburban,Sedan,Yes,Yes,Low,Yes
286,52,81143,51.8,1,9,19,1,Male,Urban,SUV,No,No,Low,No
287,34,104555,62.1,1,7,4,4,Female,Urban,SUV,Yes,Yes,Low,No
288,29,118533,22.6,2,3,13,5,Female,Urban,SUV,Yes,Yes,Low,Yes
289,30,84560,56,2,14,7,3,Female,Urban,Truck,No,Yes,Low,No
290,35,30000,41.2,1,0,1,4,Female,Rural,Sedan,Yes,Yes,Low,No
291,49,106747,33.6,1,4,8,2,Male,Suburban,Sedan,Yes,Yes,Low,Yes
292,56,86649,5,2,2,0,5,Male,Rural,Sedan,Yes,Yes,Low,Yes
293,59,92283,50.7,3,13,7,1,Male,Urban,SUV,No,Yes,Low,No
294,34,79563,5,2,4,5,1,Female,Suburban,Sedan,Yes,No,Low,No
295,60,120101,53,1,2,7,4,Female,Suburban,Sedan,Yes,No,Low,No
296,33,88380,47,1,1,1,1,Female,Rural,Sedan,Yes,Yes,Low,No
297,56,91712,5,2,1,9,1,Male,Suburban,Hatchback,Yes,No,Low,No
298,41,81718,44.7,2,7,9,4,Female,Urban,SUV,No,Yes,Medium,No
299,52,72638,46.3,1,7,7,3,Male,Urban,Sedan,Yes,No,Low,No
300,57,97580,5,2,1,0,4,Male,Rural,Sedan,Yes,Yes,Low,Yes
301,33,81956,5,1,4,3,2,Male,Suburban,Hatchback,Yes,No,Low,No
302,52,111797,52.8,2,2,2,3,Male,Rural,Sedan,Yes,No,Low,No
303,66,59901,5,2,12,5,2,Female,Urban,Sedan,Yes,Yes,Low,Yes
304,46,73320,38.9,2,12,11,1,Female,Urban,Sedan,No,No,Medium,No
305,69,91353,39.1,2,0,1,1,Female,Rural,SUV,Yes,Yes,Low,No
306,27,91325,18.5,2,6,6,2,Female,Suburban,SUV,Yes,Yes,Low,No
307,43,87278,34.1,1,2,5,3,Female,Suburban,SUV,Yes,Yes,Low,No
308,64,77550,5,1,10,16,3,Male,Urban,SUV,Yes,No,Low,No
309,58,88069,71.4,1,6,5,5,Female,Suburban,Hatchback,No,Yes,Medium,No
310,36,119154,54.4,2,7,4,4,Female,Urban,Hatchback,No,Yes,Low,No
311,50,90161,52.5,2,6,5,1,Female,Suburban,Sedan,Yes,Yes,Low,No
312,63,68159,50,1,6,9,1,Female,Urban,SUV,Yes,Yes,Low,No
313,60,121363,38.5,2,10,15,4,Female,Urban,Hatchback,No,Yes,Low,Yes
314,27,64417,5,1,6,7,1,Female,Urban,Sedan,No,Yes,Low,No
315,44,70922,5,2,6,8,2,Female,Suburban,Sedan,No,Yes,Low,No
316,29,93683,47.8,1,2,1,1,Male,Rural,SUV,Yes,Yes,Low,No
317,38,80797,47.1,1,3,6,2,Female,Suburban,Sedan,Yes,Yes,Low,No
318,67,84999,21.7,1,6,7,4,Female,Suburban,Sedan,Yes,Yes,Low,No
319,58,100720,22.7,2,13,15,4,Male,Urban,Sedan,Yes,Yes,Low,Yes
320,39,131534,39.4,4,0,2,3,Female,Rural,SUV,Yes,Yes,Low,No
321,66,112134,32.1,1,3,3,3,Male,Suburban,Sedan,Yes,Yes,Low,No
